order_id,order_date,customer_id,segment,region,country,category,product,quantity,unit_price,discount,sales,profit,ship_mode
ORD-103097,2022-10-10 02:49:43,CUST-2082,Consumer,North America,United States,Furniture,Desk,5,190.75,0.1,858.38,186.56,Standard
ORD-105301,2023-08-10 08:15:02,CUST-1995,Consumer,Europe,United Kingdom,Office Supplies,Pens (Pack),9,10.01,0.0,90.09,31.58,Economy
ORD-104870,2024-08-03 10:58:17,CUST-2622,Consumer,Europe,United Kingdom,Furniture,Office Chair,5,174.09,0.0,870.45,301.41,Standard
ORD-103646,2022-12-21 22:27:13,CUST-2436,Home Office,North America,Canada,Technology,Laptop,5,506.0,0.0,2530.0,1083.97,Standard
ORD-102710,2022-02-10 11:27:44,CUST-1021,Corporate,Oceania,New Zealand,Office Supplies,Notebook,9,12.31,0.1,99.71,26.2,Standard
ORD-107853,2024-02-05 10:02:39,CUST-1700,Consumer,Europe,Germany,Technology,Headphones,1,310.99,0.0,310.99,94.62,Standard
ORD-103681,2022-07-19 04:37:51,CUST-2940,Corporate,North America,Mexico,Office Supplies,Pens (Pack),4,13.81,0.0,55.24,19.76,Express
ORD-104255,2024-06-26 08:16:24,CUST-1157,Consumer,North America,Canada,Technology,Laptop,9,555.98,0.15,4253.25,837.95,Express
ORD-108377,2022-06-20 23:28:45,CUST-1783,Consumer,Asia,Singapore,Technology,Smartphone,4,329.51,0.1,1186.24,238.02,Standard
ORD-105671,2022-05-09 06:04:46,CUST-1041,CORPORATE, Asia ,India,Technology,Laptop,5,357.66,0.0,1788.3,745.39,Express
ORD-100054,2023-04-14 17:35:04,CUST-2968,CORPORATE, Asia ,India,Office Supplies,Paper (Ream),6,12.63,0.0,75.78,29.05,Standard
ORD-109407,2024-11-28 03:20:10,CUST-1793,Consumer,North America,United States,Technology,Headphones,4,564.23,0.2,1805.54,296.07,Express
ORD-103817,2022-07-28 03:20:00,CUST-1342,Consumer,North America,Canada,Technology,Keyboard,6,727.21,0.15,3708.77,738.95,Standard
ORD-104707,2023-07-30 08:04:01,CUST-1129,Corporate,Europe,France,Office Supplies,Stapler,10,12.92,0.0,129.2,67.72,Economy
ORD-102043,2023-01-16 14:28:45,CUST-1868,Consumer,Oceania,New Zealand,Technology,Laptop,6,380.98,0.0,2285.88,833.41,Standard
ORD-108667,2024-07-20 14:02:41,CUST-1852,Consumer,Europe,United Kingdom,Office Supplies,Paper (Ream),3,11.14,0.0,33.42,11.36,Express
ORD-101011,2022-09-13 08:56:45,CUST-2378,Corporate,Europe,Spain,Furniture,Office Chair,8,125.66,0.0,1005.28,363.18,Standard
ORD-106127,2022-02-07 19:59:46,CUST-2554,Corporate,North America,Mexico,Furniture,Desk,11,237.5,0.0,2612.5,1017.27,Express
ORD-102101,2023-10-08 12:14:24,CUST-1780,Corporate,North America,United States,Office Supplies,Pens (Pack),7,18.58,0.2,104.05,15.49,Standard
ORD-100177,2022-06-12 00:05:13,CUST-2723,Consumer,Oceania,Australia,Technology,Smartphone,9,234.49,0.1,1899.37,497.48,Standard
ORD-105947,2022-11-25 23:53:17,CUST-1529,Consumer,Europe,Spain,Office Supplies,Notebook,7,14.07,0.0,98.49,32.64,Standard
ORD-100601,2024-06-14 13:55:13,CUST-1106,Consumer,Asia,India,Technology,Monitor,5,466.83,0.1,2100.74,386.87,Standard
ORD-103176,2023-05-18 09:22:42,CUST-2339,Consumer,Asia,Singapore,Technology,Smartphone,9,529.67,0.1,4290.33,1726.3,Standard
ORD-106872,2024-12-10 22:34:49,CUST-1181,,Europe,France,Furniture,Bookcase,6,157.81,0.0,946.86,390.35,
ORD-109341,2022-04-29 20:54:08,CUST-1142,Corporate,North America,Canada,Technology,Headphones,10,417.71,0.0,4177.1,1425.29,Express
ORD-105400,2022-03-06 02:20:52,CUST-2906,Home Office,Europe,United Kingdom,Technology,Headphones,3,412.29,0.1,1113.18,244.23,Standard
ORD-104888,2024-07-09 04:02:29,CUST-2580,Consumer,North America,United States,Technology,Smartphone,3,657.23,0.2,1577.35,279.95,Standard
ORD-100425,2023-12-26 09:56:40,CUST-1107,Corporate,Asia,India,Furniture,Desk,4,293.48,0.15,997.83,270.76,Express
ORD-100157,2024-07-23 14:34:04,CUST-2769,Consumer,Europe,France,Furniture,Lamp,3,293.92,0.15,749.5,157.11,Standard
ORD-109678,2024-07-06 12:35:45,CUST-2984,Consumer,Europe,United Kingdom,Technology,Keyboard,7,430.93,0.0,3016.51,941.16,Economy
ORD-101155,2024-01-15 18:28:05,CUST-2119,Home Office,North America,Canada,Office Supplies,Paper (Ream),8,10.39,0.0,83.12,20.74,Standard
ORD-100948,2023-01-29 06:10:03,CUST-1277,Consumer,Asia,India,Technology,Laptop,7,724.16,0.15,4308.75,693.89,Standard
ORD-103996,2024-10-01 14:26:17,CUST-1421,Corporate,North America,Canada,Furniture,Lamp,1,258.23,0.0,258.23,76.18,Standard
ORD-108045,2024-06-15 17:39:09,CUST-1497,Corporate,North America,Mexico,Office Supplies,Paper (Ream),7,14.86,0.0,104.02,34.59,Standard
ORD-109861,2023-01-08 03:16:23,CUST-1256,Consumer,Europe,Germany,Technology,Headphones,7,563.77,0.0,3946.39,1421.54,Standard
ORD-104657,2022-10-24 02:21:30,CUST-2041,Consumer,North America,United States,Technology,Monitor,11,1020.71,0.2,8982.25,1320.28,Economy
ORD-103534,2022-11-03 03:34:47,CUST-1248,Consumer,Asia,India,Technology,Monitor,9,630.17,0.3,3970.07,27.74,Express
ORD-102902,2023-09-28 22:29:16,CUST-1892,Consumer,North America,Canada,Office Supplies,Binder,4,16.45,0.15,55.93,9.05,Standard
ORD-106147,2022-03-19 01:57:54,CUST-2061,Consumer,North America,United States,Furniture,Office Chair,4,178.59,0.0,714.36,299.6,Express
ORD-108573,2022-01-17 14:09:19,CUST-1149,Consumer,Europe,France,Office Supplies,Paper (Ream),3,11.6,0.0,34.8,10.1,Express
ORD-105290,2024-04-26 02:19:01,CUST-1447,Consumer,North America,Mexico,Office Supplies,Stapler,10,12.97,0.2,103.76,21.75,Standard
ORD-103152,2022-12-28 02:16:12,CUST-2752,Corporate,North America,Mexico,Technology,Laptop,8,642.16,0.0,5137.28,1755.02,Same Day
ORD-103228,2024-11-04 21:40:27,CUST-1107,Home Office,Europe,United Kingdom,Technology,Keyboard,11,241.63,0.0,2657.93,1059.98,Same Day
ORD-104806,2024-03-21 18:35:59,CUST-1100,Consumer,Europe,Germany,Technology,Smartphone,9,404.02,0.3,2545.33,191.31,Standard
ORD-104501,2023-03-14 06:10:05,CUST-1260,Home Office,Europe,United Kingdom,Technology,Headphones,7,495.95,0.1,3124.48,786.26,Standard
ORD-105383,2024-10-08 05:31:06,CUST-1135,Consumer,North America,Canada,Office Supplies,Binder,1,8.5,0.0,8.5,2.7,Same Day
ORD-109256,2023-03-28 19:30:00,CUST-2583,Consumer,Europe,United Kingdom,Technology,Headphones,6,553.97,0.1,2991.44,775.29,Express
ORD-103359,2022-01-23 14:29:03,CUST-2048,Consumer,Europe,Germany,Technology,Keyboard,11,1243.3,0.15,11624.86,1790.37,Standard
ORD-109803,2022-06-19 04:23:04,CUST-2593,Home Office,Asia,Japan,Furniture,Sofa,10,228.08,0.15,1938.68,433.93,Same Day
ORD-105013,2022-10-29 07:11:35,CUST-1079,Consumer,Asia,Singapore,Furniture,Sofa,2,134.54,0.0,269.08,98.32,Standard
ORD-107149,2024-06-26 02:09:58,CUST-2526,Consumer,Europe,France,Office Supplies,Pens (Pack),6,7.64,0.2,36.67,7.41,Same Day
ORD-106379,2022-06-25 03:16:21,CUST-2593,Home Office,Europe,Spain,Office Supplies,Paper (Ream),4,9.81,0.1,35.32,8.03,Express
ORD-102526,2024-07-02 10:57:23,CUST-1028,Consumer,Oceania,Australia,Office Supplies,Stapler,9,16.93,0.0,152.37,53.35,Standard
ORD-100169,2024-11-12 04:58:06,CUST-2100,Consumer,Oceania,New Zealand,Office Supplies,Paper (Ream),2,12.87,0.0,25.74,8.78,Same Day
ORD-101074,2024-01-23 16:48:08,CUST-2516,Consumer,Asia,India,Office Supplies,Pens (Pack),6,7.58,0.1,40.93,10.0,Standard
ORD-103377,2023-07-15 11:26:59,CUST-1818,Corporate,Oceania,New Zealand,Furniture,Desk,1,385.43,0.2,308.34,37.47,Express
ORD-103004,2022-07-24 20:41:43,CUST-1114,Consumer,North America,Mexico,Office Supplies,Notebook,1,10.98,0.3,7.69,0.74,Express
ORD-102150,2022-10-08 10:10:13,CUST-1769,Consumer,Europe,Germany,Office Supplies,Pens (Pack),3,13.42,0.15,34.22,10.11,Economy
ORD-107869,2023-08-18 02:14:39,CUST-1364,Consumer,Europe,Spain,Office Supplies,Binder,3,15.64,0.2,37.54,6.92,Standard
ORD-107405,2022-05-16 11:53:11,CUST-2893,Corporate,North America,United States,Office Supplies,Stapler,1,6.36,0.0,6.36,2.24,Standard
ORD-104701,2022-07-21 15:17:10,CUST-2378,Corporate,Europe,Spain,Office Supplies,Paper (Ream),8,8.52,0.1,61.34,11.92,Economy
ORD-101593,2023-04-16 14:39:33,CUST-1420,Consumer,Europe,United Kingdom,Technology,Smartphone,3,659.89,0.0,1979.67,783.0,Standard
ORD-106997,2022-02-04 12:39:02,CUST-2521,Consumer,North America,United States,Furniture,Office Chair,10,282.25,0.0,2822.5,1163.0,Express
ORD-109363,2023-02-01 11:54:57,CUST-2948,Home Office,Europe,Spain,Technology,Smartphone,11,630.8,0.0,6938.8,2147.5,Standard
ORD-103530,2024-12-31 00:00:00,CUST-2031,Corporate,North America,Canada,Office Supplies,Stapler,4,15.21,0.0,60.84,19.17,Express
ORD-108405,2022-11-24 05:12:41,CUST-2385,Corporate,Asia,Singapore,Furniture,Sofa,11,195.0,0.1,1930.5,254.02,Same Day
ORD-100696,2023-10-06 20:15:30,CUST-2157,Consumer,Asia,Japan,Office Supplies,Binder,9,20.64,0.15,157.9,29.14,Standard
ORD-108264,2023-11-03 16:22:59,CUST-2064,Home Office,Europe,United Kingdom,Technology,Laptop,6,570.61,0.0,3423.66,1015.13,Standard
ORD-109023,2023-04-22 07:33:21,CUST-2172,Corporate,Europe,Spain,Technology,Headphones,11,555.9,0.3,4280.43,-31.87,Standard
ORD-104370,2024-01-21 15:17:50,CUST-1517,Home Office,North America,Mexico,Office Supplies,Paper (Ream),8,14.72,0.0,117.76,39.66,Economy
ORD-105554,2024-09-21 06:45:19,CUST-1436,Home Office,Europe,Germany,Technology,Monitor,3,721.73,0.1,1948.67,514.34,Same Day
ORD-106869,2022-09-06 08:29:02,CUST-1351,Consumer,Europe,Spain,Furniture,Office Chair,7,229.09,0.0,1603.63,618.87,Standard
ORD-102953,2024-04-19 06:03:29,CUST-2419,Consumer,Oceania,Australia,Furniture,Sofa,11,196.32,0.0,2159.52,704.84,Standard
ORD-109580,2023-01-12 21:56:35,CUST-2871,Consumer,Asia,India,Office Supplies,Notebook,9,10.69,0.0,96.21,35.23,Standard
ORD-107711,2023-12-28 07:41:52,CUST-2569,Home Office,Asia,Japan,Office Supplies,Pens (Pack),9,9.26,0.15,70.84,14.51,Standard
ORD-103605,2024-11-22 10:26:29,CUST-1784,Consumer,North America,Mexico,Technology,Laptop,10,352.85,0.0,3528.5,1233.7,Standard
ORD-103355,2023-03-09 10:34:26,CUST-1828,Consumer,North America,Mexico,Technology,Monitor,1,529.07,0.3,370.35,65.77,Economy
ORD-106591,2023-10-23 11:49:55,CUST-2168,Home Office,Europe,Germany,Furniture,Lamp,3,381.75,0.15,973.46,136.12,Standard
ORD-108142,2022-10-25 20:46:14,CUST-1690,Consumer,North America,United States,Furniture,Lamp,9,210.29,0.0,1892.61,576.98,Standard
ORD-106238,2022-05-29 03:17:17,CUST-1977,,Asia,Singapore,Furniture,Desk,9,185.87,0.15,1421.91,244.11,
ORD-100667,2023-03-15 14:23:06,CUST-1639,Corporate,Oceania,Australia,Office Supplies,Stapler,3,10.35,0.0,31.05,12.54,Standard
ORD-101410,2022-10-27 02:05:53,CUST-2388,,Asia,India,Technology,Monitor,5,310.62,0.0,1553.1,504.75,Standard
ORD-104497,2023-07-17 20:08:09,CUST-1527,Corporate,Europe,France,Office Supplies,Notebook,11,11.27,0.1,111.57,29.4,Standard
ORD-103196,2022-06-09 09:57:33,CUST-2832,Consumer,Europe,France,Technology,Laptop,10,411.56,0.3,2880.92,196.78,Standard
ORD-105714,2022-01-20 11:15:31,CUST-2670,Consumer,North America,United States,Office Supplies,Binder,11,7.81,0.15,73.02,7.28,Standard
ORD-103039,2022-02-18 10:14:35,CUST-2190,Corporate,Europe,France,Furniture,Bookcase,6,169.06,0.0,1014.36,350.28,Standard
ORD-107822,2023-02-26 05:35:38,CUST-2741,Home Office,North America,Canada,Furniture,Lamp,11,210.83,0.15,1971.26,510.46,Express
ORD-106144,2024-02-24 12:38:35,CUST-2662,Corporate,Europe,France,Office Supplies,Pens (Pack),6,19.34,0.1,104.44,30.86,Standard
ORD-104973,2022-10-29 12:33:41,CUST-1338,Consumer,Asia,India,Office Supplies,Paper (Ream),10,12.12,0.0,121.2,35.38,Economy
ORD-109952,2022-04-02 09:51:37,CUST-2546,Corporate,Asia,Singapore,Furniture,Office Chair,10,167.65,0.0,1676.5,586.45,Standard
ORD-101478,2024-09-10 02:05:21,CUST-2157,Corporate,Europe,France,Office Supplies,Paper (Ream),8,10.78,0.0,86.24,32.01,Express
ORD-104820,2023-03-28 13:42:10,CUST-2428,Consumer,Asia,Singapore,Office Supplies,Binder,1,10.67,0.2,8.54,1.17,Economy
ORD-102809,2022-03-29 02:10:57,CUST-2065,CONSUMER, North America ,Canada,Office Supplies,Binder,4,7.87,0.0,31.48,12.28,Economy
ORD-109583,2022-07-01 16:16:43,CUST-1969,Consumer,Asia,Singapore,Office Supplies,Pens (Pack),2,10.86,0.1,19.55,3.44,Standard
ORD-100942,2024-07-14 01:15:05,CUST-1397,Home Office,North America,Canada,Technology,Monitor,1,449.11,0.0,449.11,168.14,Standard
ORD-104692,2022-12-24 07:50:30,CUST-1818,Corporate,Asia,Singapore,Office Supplies,Binder,10,11.34,0.1,102.06,32.33,Express
ORD-103713,2022-10-17 08:25:06,CUST-1933,Home Office,Asia,India,Furniture,Desk,5,224.64,0.0,1123.2,434.06,Express
ORD-104953,2022-01-29 14:23:58,CUST-1841,Consumer,Oceania,New Zealand,Office Supplies,Notebook,9,14.55,0.0,130.95,40.76,Economy
ORD-104336,2024-08-03 07:52:19,CUST-2610,Consumer,North America,Canada,Office Supplies,Notebook,1,17.17,0.0,17.17,5.54,Same Day
ORD-108859,2024-07-28 18:28:12,CUST-2247,Consumer,North America,Mexico,Office Supplies,Pens (Pack),8,26.18,0.0,209.44,75.3,Same Day
ORD-109677,2023-07-23 05:33:53,CUST-1994,Consumer,Asia,Japan,Office Supplies,Binder,1,13.09,0.15,11.13,2.09,Standard
ORD-103603,2023-04-25 14:04:56,CUST-1479,Home Office,North America,Canada,Office Supplies,Pens (Pack),5,8.08,0.0,40.4,14.85,Express
ORD-109225,2024-06-17 18:22:07,CUST-2097,Corporate,Asia,Japan,Furniture,Desk,6,364.65,0.0,2187.9,540.48,Express
ORD-105132,2022-01-10 07:24:10,CUST-1109,Corporate,North America,United States,Office Supplies,Binder,10,15.11,0.0,151.1,53.83,Standard
ORD-101843,2022-11-18 17:58:25,CUST-2455,Consumer,Oceania,New Zealand,Office Supplies,Stapler,4,11.16,0.0,44.64,16.48,Same Day
ORD-101827,2022-10-22 02:02:36,CUST-1151,Corporate,Europe,France,Technology,Monitor,11,260.26,0.1,2576.57,582.04,Standard
ORD-102008,2022-01-12 13:23:09,CUST-1339,Consumer,North America,Mexico,Office Supplies,Notebook,1,9.41,0.0,9.41,2.75,Standard
ORD-109565,2024-06-15 10:22:52,CUST-1639,Home Office,Europe,France,Technology,Keyboard,2,457.94,0.0,915.88,343.31,Standard
ORD-106788,2022-12-17 10:47:06,CUST-2210,Consumer,Asia,India,Office Supplies,Notebook,4,12.22,0.0,48.88,18.67,Standard
ORD-109856,2024-11-01 04:18:01,CUST-2763,Corporate,Europe,France,Office Supplies,Notebook,10,14.41,0.1,129.69,33.98,Economy
ORD-102016,2022-02-10 03:08:20,CUST-2388,Home Office,North America,Mexico,Office Supplies,Stapler,8,9.47,0.0,75.76,26.18,Standard
ORD-100101,2023-02-13 01:57:26,CUST-2692,Consumer,Europe,United Kingdom,Furniture,Desk,7,223.58,0.0,1565.06,583.26,Express
ORD-109932,2023-03-09 21:53:25,CUST-2858,Consumer,Europe,Spain,Technology,Smartphone,5,297.66,0.0,1488.3,530.48,Economy
ORD-106613,2023-01-16 12:16:02,CUST-1976,Corporate,North America,Mexico,Technology,Keyboard,10,731.62,0.0,7316.2,2333.34,Standard
ORD-109887,2023-10-06 14:54:10,CUST-2969,,Asia,India,Office Supplies,Pens (Pack),2,11.37,0.2,18.19,,
ORD-103292,2023-12-22 11:30:38,CUST-2808,Consumer,Europe,Germany,Office Supplies,Notebook,-10,8.62,0.15,73.27,22.1,Standard
ORD-103556,2024-06-25 15:56:36,CUST-1900,Consumer,Europe,France,Office Supplies,Binder,2,36.35,0.0,72.7,27.28,Standard
ORD-103105,2024-01-29 23:36:14,CUST-1069,Home Office,Europe,France,Office Supplies,Binder,10,7.31,0.3,51.17,1.35,Standard
ORD-102157,2023-02-16 17:55:10,CUST-2782,Consumer,North America,United States,Office Supplies,Stapler,10,17.03,0.0,170.3,56.92,Standard
ORD-108242,2024-11-25 17:18:57,CUST-2936,Corporate,Oceania,Australia,Office Supplies,Binder,11,16.07,0.15,150.25,32.85,Express
ORD-106522,2023-10-20 01:41:56,CUST-1557,Consumer,North America,Canada,Furniture,Office Chair,2,171.6,0.0,343.2,133.25,Economy
ORD-100295,2022-12-31 23:38:14,CUST-1064,Corporate,Oceania,Australia,Technology,Headphones,7,492.08,0.1,3100.1,753.89,Express
ORD-106810,2023-04-24 22:47:26,CUST-2296,CONSUMER, North America ,United States,Office Supplies,Paper (Ream),4,15.74,0.0,62.96,18.39,Standard
ORD-100125,2024-04-15 05:39:44,CUST-2871,Home Office,Europe,Spain,Furniture,Office Chair,4,139.57,0.15,474.54,98.92,Standard
ORD-103833,2023-11-13 10:49:49,CUST-2399,Consumer,Europe,Spain,Furniture,Office Chair,1,253.41,0.0,253.41,93.82,Standard
ORD-100069,2022-07-13 16:39:38,CUST-2596,Consumer,Europe,Spain,Furniture,Office Chair,9,240.42,0.0,2163.78,672.59,Same Day
ORD-103345,2022-06-17 14:49:23,CUST-1494,Home Office,Europe,Germany,Technology,Keyboard,2,565.44,0.15,961.25,132.7,Express
ORD-103469,2024-12-20 14:02:57,CUST-1041,Corporate,Oceania,New Zealand,Furniture,Sofa,11,249.17,0.2,2192.7,481.61,Standard
ORD-108125,2022-12-25 04:34:28,CUST-1756,Consumer,North America,Mexico,Technology,Laptop,10,329.56,0.3,2306.92,-75.67,Standard
ORD-106163,2023-05-17 08:39:41,CUST-2164,Corporate,Europe,Germany,Technology,Monitor,5,308.83,0.1,1389.74,371.05,Economy
ORD-104469,2023-12-26 16:12:18,CUST-2772,Home Office,North America,Mexico,Technology,Smartphone,3,676.99,0.2,1624.78,252.77,Standard
ORD-108075,2024-08-11 15:26:59,CUST-1714,Consumer,Europe,Germany,Office Supplies,Notebook,6,10.79,0.0,64.74,22.42,Standard
ORD-108480,2023-12-17 16:07:02,CUST-1211,HOME OFFICE, North America ,Canada,Technology,Keyboard,10,336.71,0.0,3367.1,971.18,Standard
ORD-104327,2022-04-12 12:45:54,CUST-2066,,Asia,Singapore,Technology,Monitor,1,674.08,0.2,539.26,153.02,Standard
ORD-100141,2024-09-04 05:25:48,CUST-1048,Corporate,Europe,France,Office Supplies,Pens (Pack),7,17.32,0.1,109.12,32.15,Standard
ORD-109105,2022-12-06 21:21:49,CUST-2418,Consumer,Asia,Japan,Furniture,Office Chair,2,200.95,0.1,361.71,97.54,Economy
ORD-104026,2023-07-25 07:35:32,CUST-2277,Consumer,Europe,France,Technology,Monitor,10,260.46,0.1,2344.14,618.64,Express
ORD-106057,2022-11-24 11:16:29,CUST-1340,Home Office,Europe,United Kingdom,Technology,Headphones,5,402.0,0.1,1809.0,653.64,Economy
ORD-103951,2022-03-01 17:29:16,CUST-2827,Corporate,Oceania,Australia,Furniture,Sofa,2,327.48,0.15,556.72,87.44,Standard
ORD-105804,2024-07-07 13:15:48,CUST-1703,Consumer,Europe,Germany,Technology,Headphones,9,441.66,0.0,3974.94,1049.8,Economy
ORD-108290,2022-10-09 23:21:26,CUST-2593,Consumer,Asia,Singapore,Furniture,Bookcase,9,237.53,0.15,1817.1,314.25,Standard
ORD-102638,2024-07-01 08:17:36,CUST-1168,Corporate,Asia,Singapore,Office Supplies,Paper (Ream),2,10.68,0.0,21.36,6.11,Standard
ORD-104095,2023-11-26 00:57:52,CUST-2177,Consumer,North America,Canada,Furniture,Sofa,9,178.9,0.2,1288.08,127.78,Standard
ORD-101766,2024-04-28 01:52:55,CUST-2266,Corporate,Oceania,New Zealand,Technology,Keyboard,1,469.16,0.1,422.24,111.91,Express
ORD-102697,2024-08-02 22:02:54,CUST-1807,Consumer,North America,Canada,Office Supplies,Pens (Pack),9,14.86,0.0,133.74,44.05,Standard
ORD-109355,2022-12-07 21:43:53,CUST-1248,CONSUMER, North America ,Mexico,Technology,Monitor,10,401.53,0.1,3613.77,938.64,Express
ORD-107393,2023-11-22 08:01:11,CUST-1064,Consumer,Asia,India,Technology,Smartphone,4,612.98,0.2,1961.54,305.36,Express
ORD-104234,2022-02-05 10:12:16,CUST-2199,Consumer,North America,United States,Office Supplies,Notebook,9,27.25,0.1,220.72,58.5,Same Day
ORD-102097,2024-11-22 09:04:10,CUST-1534,Corporate,Europe,Germany,Furniture,Bookcase,7,277.79,0.1,1750.08,504.69,Standard
ORD-103425,2024-06-09 07:23:02,CUST-1347,Home Office,Europe,United Kingdom,Technology,Headphones,8,787.69,0.1,5671.37,1131.62,Express
ORD-101538,2024-07-02 13:15:15,CUST-1890,Consumer,Asia,India,Furniture,Bookcase,3,176.27,0.0,528.81,175.95,Standard
ORD-107608,2024-02-18 00:40:26,CUST-1919,Corporate,North America,Mexico,Furniture,Lamp,11,257.39,0.0,2831.29,1015.25,Standard
ORD-105109,2022-08-20 19:14:39,CUST-1505,Consumer,Asia,Singapore,Technology,Smartphone,5,352.45,0.0,1762.25,619.12,Same Day
ORD-109319,2024-01-22 16:22:33,CUST-1744,Consumer,North America,United States,Technology,Keyboard,9,377.95,0.15,2891.32,448.94,Standard
ORD-101445,2022-01-30 11:09:07,CUST-2604,Consumer,Europe,United Kingdom,Office Supplies,Paper (Ream),11,22.3,0.0,245.3,80.61,Economy
ORD-101844,2024-05-20 11:12:08,CUST-1646,Consumer,North America,United States,Office Supplies,Binder,9,18.5,0.0,166.5,43.03,Standard
ORD-103913,2022-02-14 20:12:38,CUST-1583,Corporate,North America,Mexico,Office Supplies,Paper (Ream),3,9.16,0.1,24.73,5.96,Standard
ORD-105232,2024-05-02 00:31:19,CUST-2867,Consumer,Europe,United Kingdom,Office Supplies,Binder,10,8.17,0.0,81.7,34.42,Express
ORD-102664,2023-11-30 06:02:58,CUST-2056,Home Office,Europe,France,Technology,Headphones,4,846.22,0.15,2877.15,837.1,Standard
ORD-101633,2024-12-03 04:58:13,CUST-2878,Home Office,Europe,France,Technology,Headphones,10,247.82,0.0,2478.2,906.46,Standard
ORD-100542,2022-02-24 12:56:09,CUST-2349,Consumer,Asia,India,Technology,Monitor,7,196.47,0.0,1375.29,466.17,Express
ORD-109869,2022-03-12 21:54:32,CUST-1547,Home Office,Oceania,New Zealand,Technology,Laptop,9,479.34,0.1,3882.65,1034.32,Express
ORD-105790,2024-01-15 14:19:27,CUST-2986,Home Office,Asia,Singapore,Office Supplies,Binder,6,11.05,0.15,56.36,10.89,Express
ORD-105332,2024-05-16 14:41:59,CUST-1875,Corporate,North America,United States,Furniture,Sofa,5,100.41,0.0,502.05,170.88,Standard
ORD-105846,2024-11-22 21:43:40,CUST-1962,Corporate,Oceania,Australia,Office Supplies,Binder,5,9.01,0.3,31.53,3.02,Express
ORD-106544,2023-10-27 01:45:52,CUST-2986,Home Office,North America,Canada,Technology,Laptop,6,817.0,0.0,4902.0,1456.67,Standard
ORD-108754,2023-06-26 10:06:18,CUST-1604,Corporate,North America,United States,Office Supplies,Notebook,5,9.57,0.0,47.85,13.67,Express
ORD-109857,2022-02-22 03:25:25,CUST-1055,,Europe,Germany,Furniture,Bookcase,2,211.88,0.0,423.76,171.75,Express
